candidate_id,full_name,gender,age,graduation_year,college,degree,branch,cgpa,backlogs,gap_year,prior_internship,projects_count,certifications_count,top_skills,platform,company_applied,sector,job_role,work_type,job_location,application_date,hiring_stage,interview_rounds,response_time_days,offered_salary_inr,linkedin_connections,profile_completion_pct,linkedin_premium,referral_applied
39,Akhil Soni,Male,25,2024,VIT Vellore,B.E.,Civil,9.59,2,No,Yes,0,0,Swift | MongoDB | SQL | Tableau,Referral,PhonePe,Consulting,QA Engineer,Full-time,Patna,2024-11-27,Rejected,1,27,,2455,64,N/A,No
40,Usha Choudhury,Female,24,2020,SRMIST Chennai,MBA,Marketing,7.5,1,No,Yes,5,2,JavaScript | TensorFlow | Problem Solving | Data Analysis,Apna,Delhivery,Banking & Finance,iOS Developer,Full-time,Remote,2024-05-07,Withdrawn,,4,,1416,70,N/A,No
41,Lavanya Nair,Female,23,2024,NIT Calicut,B.Sc (CS),Computer Science,8.98,0,No,No,1,4,Deep Learning | MongoDB | R | Java,LinkedIn,Mphasis,FinTech,Technical Support Engineer,Full-time,Jaipur,2021-02-02,Applied,,4,,569,81,No,No
42,Neeraj Natarajan,Male,21,2023,COEP Pune,B.Sc (CS),Computer Science,8.77,2,No,No,0,3,Figma | MATLAB | SQL | Swift | Bash Scripting,Monster,Deloitte,Banking & Finance,HR Executive,Internship,Delhi NCR,2021-09-16,Applied,,41,,2447,90,N/A,No
43,Tushar Sundaram,Male,24,2023,COEP Pune,BBA,HR,5.95,0,No,No,6,4,Figma | Selenium | Power BI,Indeed,Delhivery,Consulting,Operations Analyst,Internship,Jaipur,2023-05-25,Shortlisted,,17,,1583,64,N/A,No
44,Manish Verma,Male,21,2023,IIT Hyderabad,MBA,Marketing,8.0,2,No,Yes,6,5,Networking | JavaScript | Leadership | Hadoop | Teamwork,Naukri,Groww,EdTech,Backend Developer,Internship,Ahmedabad,2021-08-10,Shortlisted,,36,,1555,62,N/A,No
45,Riddhi Soni,Female,20,2024,HBTU Kanpur,B.Sc (IT),Information Technology,6.31,2,No,Yes,1,1,React | Azure | Cybersecurity | Hive | Java,LinkedIn,Upstox,EdTech,Finance Analyst,Full-time,Jaipur,2021-11-19,Shortlisted,,21,,2374,93,Yes,Yes
46,Akhil Joshi,Male,21,2022,IIIT Allahabad,MCA,Computer Applications,8.23,3,No,No,0,2,MongoDB | Leadership | MATLAB | GraphQL | Swift,Internshala,Texas Instruments India,IT/Software,ML Engineer,Full-time,Coimbatore,2021-04-23,Applied,,20,,915,63,N/A,No
47,Deepak Sharma,Male,27,2025,IIIT Hyderabad,BCA,Computer Applications,7.21,1,No,No,6,2,TensorFlow | Cybersecurity,LinkedIn,Wipro,Telecom,Recruiter,Full-time,Jaipur,2024-03-25,Shortlisted,,26,,2956,95,No,Yes
48,Ishan Tiwari,Male,27,2025,Lovely Professional University,B.E.,Civil,9.3,1,No,Yes,0,3,Cybersecurity | Docker | Power BI | Machine Learning,LinkedIn,Swiggy,Retail,Network Engineer,Full-time,Bhubaneswar,2022-12-17,Shortlisted,,42,,654,70,Yes,No
49,Jay Bhatia,Male,21,2021,Nirma University Ahmedabad,M.Tech,VLSI,8.9,3,No,No,5,5,Hive | Git | Azure | Selenium,LinkedIn,Lenskart,Logistics,Product Manager,Internship,Visakhapatnam,2021-04-26,Shortlisted,,5,,1321,84,No,Yes
50,Sneha Grewal,Female,21,2024,IIEST Shibpur,B.Com,Accounting,7.58,0,No,No,5,1,Hadoop | Kotlin | Flutter | Azure,Hirist,Urban Company,Banking & Finance,Technical Support Engineer,Part-time,Jaipur,2021-06-22,Online Assessment,,12,,210,70,N/A,No
51,Geetanjali Balakrishnan,Prefer not to say,22,2022,Lovely Professional University,B.Sc (IT),Information Technology,7.34,2,No,Yes,5,5,React | Docker | SQL | Ruby on Rails,Cutshort,Samsung India,HealthTech,Database Administrator,Part-time,Coimbatore,2021-11-04,Shortlisted,,38,,2768,64,N/A,No
52,Ekansh Sandhu,Male,26,2021,IIEST Shibpur,B.E.,Mechanical,8.02,2,No,No,6,5,Scala | R,Indeed,Hexaware,IT/Software,Marketing Analyst,Full-time,Kolkata,2022-12-01,Rejected,2,32,,836,69,N/A,No
53,Varun Ramachandran,Male,20,2025,Bangalore University,BBA,Marketing,8.19,1,No,No,6,4,Networking | Selenium | C++,Indeed,Axis Bank,Telecom,UX Designer,Full-time,Patna,2023-07-09,Applied,,16,,1317,85,N/A,No
54,Harish Oswal,Male,27,2023,Nirma University Ahmedabad,B.Sc (IT),Information Technology,7.76,3,No,No,6,4,Communication | JavaScript | Scala,Indeed,Persistent Systems,Retail,Recruiter,Full-time,Surat,2021-09-13,Shortlisted,,11,,1167,83,N/A,No
55,Wasim Mishra,Male,23,2023,Amity University Noida,B.Tech,Electrical Engineering,5.74,2,No,No,2,1,Git | SQL,Campus Placement,L&T Infotech,FinTech,Backend Developer,Full-time,Gurugram,2023-08-26,Technical Interview,1,9,,2939,85,N/A,No
56,Neha Patil,Female,23,2021,Christ University Bangalore,BBA,HR,6.0,2,No,Yes,1,3,React | MongoDB | Swift | Hadoop | Laravel,LinkedIn,Zerodha,Automotive,ML Engineer,Internship,Gurugram,2023-05-30,Applied,,23,,1035,91,No,No
57,Neeraj Nair,Male,20,2023,MDI Gurgaon,M.Tech,Computer Science,8.36,2,No,Yes,6,0,Tableau | Networking | R | Hive,LinkedIn,L&T Infotech,E-commerce,Data Analyst,Full-time,Jaipur,2024-08-09,Applied,,44,,1953,99,No,No
58,Arnav Kumar,Male,24,2021,IIT Madras,B.Sc (CS),Computer Science,6.92,2,No,No,4,3,C++ | Scala | Data Analysis | Leadership,Naukri,Accenture,AgriTech,Android Developer,Full-time,Hyderabad,2023-01-24,Shortlisted,,26,,1851,79,N/A,No
59,Jignesh Venkatesh,Male,25,2024,Anna University Chennai,B.E.,Civil,5.86,1,No,Yes,0,2,Teamwork | Selenium | Hadoop | Bash Scripting,Indeed,Lenskart,Manufacturing,QA Engineer,Full-time,Chandigarh,2024-06-13,Withdrawn,,18,,2669,58,N/A,Yes
60,Indira Natarajan,Female,22,2020,BITS Hyderabad,BBA,HR,5.66,0,No,No,2,3,Hadoop | Azure,Cutshort,Persistent Systems,Manufacturing,QA Engineer,Internship,Visakhapatnam,2021-10-09,Online Assessment,,26,,1337,96,N/A,No
61,Deepika Dubey,Female,27,2024,KIIT Bhubaneswar,B.Com,Commerce,6.68,2,No,Yes,4,2,Data Analysis | MongoDB | AWS | React | Selenium,LinkedIn,Lenskart,Banking & Finance,Technical Support Engineer,Internship,Jaipur,2024-09-29,Shortlisted,,5,,2302,89,No,No
62,Kamlesh Sodhi,Male,22,2022,COEP Pune,B.Sc (CS),Computer Science,9.93,1,No,No,2,4,REST APIs | Ruby on Rails | AWS | Spark,Referral,IBM India,HealthTech,Finance Analyst,Contract,Patna,2023-09-08,Online Assessment,,27,,2404,59,N/A,Yes
63,Nikhil Ghosh,Male,27,2025,RV College Bangalore,MBA,Marketing,9.45,1,No,Yes,4,0,PHP | Azure,Naukri,Zoho,Manufacturing,Recruiter,Internship,Chandigarh,2023-11-29,Rejected,5,6,,1076,67,N/A,No
64,Balram Garg,Male,21,2024,MNNIT Allahabad,BCA,Computer Applications,6.27,2,No,No,6,0,C++ | Scala,HackerEarth,Morgan Stanley India,Logistics,DevOps Engineer,Internship,Kochi,2024-06-19,Technical Interview,3,32,,2618,89,N/A,No
65,Irfan Anand,Male,24,2023,IIT Roorkee,B.Tech,Mechanical Engineering,7.48,3,No,Yes,1,2,Networking | Kubernetes | TensorFlow | AWS,HackerEarth,Zerodha,Retail,Full Stack Developer,Full-time,Bhopal,2021-09-08,Applied,,16,,627,61,N/A,Yes
66,Usha Majumdar,Female,23,2021,IIM Calcutta,MBA,Business Analytics,8.75,1,No,No,4,3,Teamwork | Swift | Java | Node.js | TensorFlow,Internshala,Axis Bank,EdTech,Sales Executive,Full-time,Mumbai,2022-07-31,Online Assessment,,42,,2804,85,N/A,No
67,Rajesh Mukherjee,Male,22,2022,Osmania University Hyderabad,MBA,Operations,7.15,3,Yes,No,2,4,React | Spring Boot | Flutter | Selenium,HackerEarth,Citi India,AgriTech,UX Designer,Internship,Hyderabad,2021-09-21,Withdrawn,,26,,1578,76,N/A,No
68,Ishaan Yadav,Male,26,2024,IIT Madras,B.Tech,Computer Science,6.12,2,No,No,1,4,Git | Spark | Machine Learning,Naukri,Qualcomm India,Automotive,HR Executive,Full-time,Surat,2023-12-27,Online Assessment,,37,,1277,85,N/A,No
69,Harish Chatterjee,Male,26,2024,Delhi University,B.Tech,Chemical Engineering,6.69,1,No,No,1,4,Azure | MATLAB | Tableau | C++ | TypeScript,IIMJobs,Swiggy,EdTech,Software Engineer,Full-time,Kochi,2021-11-07,Shortlisted,,14,,1730,87,N/A,No
70,Kavya Trivedi,Female,23,2024,Mumbai University,M.Tech,Software Engineering,7.2,1,No,No,4,2,Spark | Kotlin | Data Analysis | Tableau,Naukri,Qualcomm India,EdTech,Product Manager,Internship,Vadodara,2022-03-01,Technical Interview,3,32,,1348,85,N/A,No
71,Parth Ahuja,Male,26,2023,IIM Calcutta,MBA,Marketing,6.81,2,No,Yes,3,5,Cybersecurity | Kotlin | Excel | Data Analysis,Campus Placement,Barclays India,Retail,Data Scientist,Full-time,Hyderabad,2024-06-14,HR Interview,5,16,,1043,58,N/A,No
72,Uday Joshi,Male,21,2023,Bangalore University,M.Tech,Computer Science,8.57,1,Yes,No,1,3,Kotlin | Scala | Data Analysis | Leadership | Git,Naukri,Capgemini,FinTech,Business Analyst,Internship,Ahmedabad,2024-01-01,HR Interview,2,3,,767,81,N/A,No
73,Shreya Bajaj,Female,27,2021,JNTUH Hyderabad,B.Sc (IT),Information Technology,5.54,0,No,Yes,3,5,AWS | Flutter | REST APIs | Problem Solving | Data Analysis,Campus Placement,L&T Infotech,E-commerce,Database Administrator,Full-time,Noida,2022-01-17,Applied,,22,,1258,91,N/A,No
74,Vijay Sodhi,Male,26,2023,COEP Pune,MBA,Finance,7.3,0,No,Yes,2,1,Communication | Spring Boot,Naukri,Barclays India,Manufacturing,Product Manager,Internship,Visakhapatnam,2021-01-24,Applied,,24,,2887,70,N/A,Yes
75,Girish Pandey,Male,26,2025,COEP Pune,B.Sc (IT),Information Technology,8.37,2,No,Yes,1,3,REST APIs | Cybersecurity | Hadoop,Naukri,1mg,FinTech,Cybersecurity Analyst,Internship,Kolkata,2022-05-22,Technical Interview,3,39,,385,88,N/A,No
76,Onkar Chatterjee,Male,20,2024,COEP Pune,B.Sc (CS),Computer Science,6.24,3,Yes,Yes,4,3,Flutter | Selenium,Campus Placement,Delhivery,E-commerce,Network Engineer,Full-time,Visakhapatnam,2021-04-29,Online Assessment,,44,,1312,56,N/A,No
77,Madhuri Porwal,Female,21,2020,IIIT Hyderabad,MBA,Strategy,5.79,0,No,Yes,3,0,PyTorch | Deep Learning | AWS | Scala,Shine,Fractal Analytics,Manufacturing,Digital Marketing Executive,Full-time,Indore,2023-02-09,Applied,,43,,2258,63,N/A,No
78,Mayank Murthy,Male,26,2024,BITS Goa,B.Sc (CS),Computer Science,8.9,2,No,No,3,4,Power BI | Tableau | REST APIs | Kubernetes | Azure,Naukri,Swiggy,IT/Software,Technical Support Engineer,Internship,Coimbatore,2021-02-02,Applied,,5,,463,93,N/A,Yes
79,Riya Desai,Female,20,2023,IIIT Allahabad,B.Sc (CS),Computer Science,8.89,0,No,No,1,5,TypeScript | Hadoop | MATLAB | Git,Naukri,Razorpay,Logistics,Network Engineer,Full-time,Gurugram,2022-07-18,Applied,,38,,767,95,N/A,No
80,Riya Thakur,Female,26,2024,Mumbai University,MCA,Computer Applications,6.17,3,No,No,1,1,Bash Scripting | Azure | REST APIs | JavaScript,Internshala,Fractal Analytics,Retail,Network Engineer,Full-time,Ahmedabad,2022-06-07,Applied,,42,,373,83,N/A,No
81,Om Joshi,Male,24,2023,GLA University Mathura,BBA,Business Administration,9.43,1,No,No,5,4,Kotlin | Excel | Docker,Naukri,TCS,EdTech,Recruiter,Full-time,Patna,2021-08-29,HR Interview,2,31,,1043,99,N/A,No
82,Vishal Jain,Male,25,2022,KIIT Bhubaneswar,M.Tech,Software Engineering,8.42,2,No,No,3,3,Networking | Kotlin,HackerEarth,Bosch India,EdTech,Marketing Analyst,Full-time,Mumbai,2024-02-27,Offer,5,2,403011,1118,90,N/A,No
83,Zara Das,Female,23,2022,VIT Vellore,MCA,Computer Applications,7.75,2,No,No,5,5,REST APIs | Machine Learning | Networking | Kubernetes | AWS,AngelList,Cure.fit,E-commerce,Recruiter,Part-time,Remote,2021-05-01,Online Assessment,,5,,2787,58,N/A,No
84,Balram Naik,Male,21,2025,BITS Hyderabad,B.Tech,Civil Engineering,7.78,2,Yes,No,4,3,Java | Python | Laravel | Ruby on Rails | PyTorch,LinkedIn,Upstox,Media & Entertainment,Cloud Engineer,Full-time,Gurugram,2021-02-05,Online Assessment,,45,,2810,82,No,No
85,Varun Sundaram,Male,22,2021,NIT Surathkal,BBA,Finance,9.17,2,No,Yes,3,3,Linux | Power BI | Teamwork,Cutshort,Amazon India,Logistics,SEO Analyst,Internship,Mumbai,2021-07-11,Shortlisted,,25,,2313,85,N/A,Yes
86,Lakshay Verma,Male,27,2023,MNNIT Allahabad,MBA,Business Analytics,9.9,0,No,No,1,1,Problem Solving | C++ | React | MATLAB | Laravel,Internshala,Tech Mahindra,E-commerce,Recruiter,Part-time,Bengaluru,2022-03-01,Online Assessment,,26,,365,74,N/A,No
87,Qasim Ahuja,Male,25,2023,SVNIT Surat,BCA,Computer Applications,7.75,2,Yes,Yes,6,0,Hadoop | Spark | TensorFlow | Git,LinkedIn,Barclays India,FinTech,QA Engineer,Full-time,Chandigarh,2024-02-07,Rejected,5,28,,810,98,No,No
88,Yash Iyer,Male,21,2022,BITS Hyderabad,MCA,Computer Applications,8.83,2,No,Yes,2,3,Problem Solving | SQL | AWS | Node.js,LinkedIn,Urban Company,Retail,Cybersecurity Analyst,Full-time,Hyderabad,2021-02-23,Applied,,36,,431,93,No,No
89,Eshan Choudhury,Male,26,2020,Osmania University Hyderabad,B.Com,Commerce,8.07,1,No,Yes,2,2,Swift | Azure | React | Machine Learning,Indeed,Fractal Analytics,HealthTech,Embedded Engineer,Internship,Chandigarh,2022-05-31,Rejected,4,41,,2080,93,N/A,No
90,Farhan Sharma,Male,26,2022,XLRI Jamshedpur,BBA,HR,9.12,2,No,Yes,6,5,Teamwork | Git | Hadoop,IIMJobs,MakeMyTrip,Telecom,HR Executive,Full-time,Indore,2022-10-16,Shortlisted,,45,,2642,86,N/A,No
91,Dimple Mathur,Female,24,2023,Lovely Professional University,B.E.,Electrical,6.4,1,No,No,5,3,Selenium | Leadership | Linux,LinkedIn,Mu Sigma,Logistics,Embedded Engineer,Full-time,Gurugram,2022-05-11,Applied,,10,,2979,82,No,Yes
92,Sarika Porwal,Prefer not to say,26,2024,COEP Pune,MCA,Computer Applications,9.06,2,No,No,4,5,SQL | Tableau,Cutshort,Mphasis,E-commerce,Android Developer,Internship,Visakhapatnam,2024-08-14,Technical Interview,1,26,,1408,82,N/A,Yes
93,Hitesh Balakrishnan,Male,23,2023,Lovely Professional University,MCA,Computer Applications,8.98,1,No,Yes,0,2,Node.js | MongoDB | Networking | Azure | Kubernetes,Naukri,Delhivery,FinTech,DevOps Engineer,Full-time,Chandigarh,2023-09-03,Applied,,45,,1903,75,N/A,Yes
94,Suresh Singh,Male,25,2025,IIT Hyderabad,BCA,Computer Applications,7.82,1,No,Yes,3,1,Hive | Deep Learning | R | Figma | TensorFlow,LinkedIn,MakeMyTrip,Telecom,Sales Executive,Full-time,Bengaluru,2024-12-14,Applied,,18,,2932,59,No,No
95,Indira Bhatnagar,Female,23,2023,BITS Pilani,B.Sc (IT),Information Technology,7.87,2,No,No,4,0,Kubernetes | REST APIs | Spark | Deep Learning,Campus Placement,Qualcomm India,Automotive,Sales Executive,Full-time,Pune,2022-10-04,Applied,,20,,529,66,N/A,No
96,Qasim Majumdar,Male,22,2024,KIIT Bhubaneswar,MCA,Computer Applications,7.69,1,No,No,1,1,Selenium | Spark | JavaScript | Kubernetes,IIMJobs,Cure.fit,E-commerce,DevOps Engineer,Internship,Lucknow,2023-11-02,Technical Interview,4,27,,2854,86,N/A,No
97,Aditya Lodha,Male,20,2021,Pune University,B.Tech,Information Technology,6.51,2,No,No,5,3,TypeScript | MongoDB,Naukri,Hexaware,Retail,Content Writer,Internship,Bhubaneswar,2023-06-23,Online Assessment,,28,,469,96,N/A,No
98,Karan Ghosh,Male,24,2022,MDI Gurgaon,B.E.,Civil,9.39,0,No,Yes,6,5,Bash Scripting | Spark | Hive | Figma,LinkedIn,PhonePe,FinTech,DevOps Engineer,Internship,Mumbai,2024-03-13,Shortlisted,,18,,2494,89,Yes,No
